93.57	0.874	
93.68	0.844	
93.79	0.807	
93.89	0.815	
94.0	0.793	
94.12	0.853	
94.21	0.908	
94.31	0.867	
94.4	0.884	
94.5	0.846	
94.59	0.84	
94.69	0.839	
94.78	0.848	
94.88	0.865	
94.98	0.852	
95.08	0.813	
95.17	0.774	
95.27	0.819	
95.37	0.803	
95.46	0.862	
95.56	0.828	
95.65	0.81	
95.75	0.759	
95.84	0.837	
95.94	0.842	
96.04	0.906	
96.15	0.826	
96.25	0.813	
96.34	0.788	
96.44	0.811	
96.53	0.854	
96.63	0.856	
96.72	0.744	
96.82	0.751	
96.91	0.767	
97.01	0.778	
97.1	0.791	
97.2	0.819	
97.29	0.784	
97.39	0.77	
97.48	0.755	
97.58	0.799	
97.68	0.787	
97.77	0.763	
97.87	0.735	
97.96	0.782	
98.06	0.742	
98.16	0.772	
98.27	0.799	
98.37	0.792	
98.47	0.792	
98.57	0.819	
98.66	0.775	
98.76	0.79	
98.86	0.794	
98.96	0.75	
99.05	0.745	
99.15	0.77	
99.25	0.749	
99.35	0.79	
99.45	0.771	
99.55	0.741	
99.64	0.743	
99.74	0.725	
99.84	0.64	
99.94	0.737	
100.03	0.696	
100.13	0.801	
100.25	0.779	
100.35	0.75	
100.45	0.717	
100.55	0.744	
100.65	0.715	
100.74	0.79	
100.84	0.748	
100.94	0.733	
101.04	0.74	
101.13	0.701	
101.23	0.715	
101.33	0.727	
101.43	0.732	
101.54	0.716	
101.63	0.684	
101.74	0.659	
101.83	0.657	
101.93	0.746	
102.03	0.706	
102.13	0.699	
102.24	0.718	
102.34	0.699	
102.44	0.659	
102.54	0.72	
102.64	64.003	
102.74	0.648	
102.83	0.661	
102.92	0.723	
103.02	0.716	
103.11	0.69	
103.2	0.639	
103.29	0.71	
103.39	0.715	
103.48	0.709	
103.58	0.788	
103.67	0.633	
103.77	0.655	
103.86	0.638	
103.96	0.736	
104.05	0.724	
104.14	0.687	
104.25	0.646	
104.35	0.581	
104.44	0.651	
104.54	0.637	
